session_duration_sec,scroll_depth_pct,clicks_per_minute,idle_time_sec,mouse_movement_dist,tab_switches,attention_span
3204,3.4672704226066386,15.0,8.03926233845648,371.793402108941,2,high
3537,39.191056294390904,25.0,32.48833941788392,326.82541596603215,2,high
890,69.71636921379805,14.0,25.5498843109823,,1,high
1324,19.343534295648258,17.0,12.250232735474903,371.11182440328815,3,low
1160,64.15044812562518,21.0,12.632498438470684,599.5380438798643,1,high
1125,25.982813794029948,14.0,15.235417338022184,398.04630061120577,1,low
3122,88.60861088135164,10.0,10.322856368507283,309.99608951252424,2,high
1668,,19.0,37.161214151878646,590.7799400452732,3,high
2199,29.72872042813265,12.0,31.611324990704258,405.38826998547023,0,high
496,22.99937539632405,14.0,17.436243768105673,563.8138458858341,1,low
1268,41.13039720662313,16.0,15.217693813383185,574.8924411269065,2,low
360,24.05315851801487,16.0,13.626330674945036,581.9397867518703,2,low
1512,,22.0,,459.77769740852204,2,high
2165,82.60646845482856,13.0,2.6877865261042477,602.9275334757061,3,high
3474,67.3092130911217,14.0,9.367632874617971,361.61805073278754,4,high
3201,82.43504472493495,17.0,11.622921975073504,,2,high
2949,39.69921622074742,11.0,,606.0338259680162,1,high
160,15.631697070886085,,44.588547502757926,524.8385757256204,5,low
1715,73.79509473975922,4.0,15.110641947232603,408.48826339790435,3,high
3410,36.047450514155386,6.0,,279.32708570374325,4,low
799,67.12708252291326,15.0,52.694659301849974,194.51325517469854,2,low
2421,27.064394198176565,13.0,125.59744289457954,507.76150223134584,1,low
1545,8.122963480667266,13.0,62.67337449543049,747.3178948594929,2,low
3515,99.25817954877634,14.0,28.770150258745392,,1,high
2883,15.620150793059928,10.0,27.374884797568733,445.79969199626817,2,high
2463,98.8420993963481,14.0,4.161526011814247,496.3448236256235,1,high
1245,97.72799325664472,18.0,,826.8807667863155,3,high
985,79.38181039080396,21.0,27.504240288627045,612.78563399797,1,high
2354,65.94229620819976,14.0,21.21325179347509,359.96371224494163,2,high
1214,57.78070502510847,15.0,35.455272196557885,504.21558558531547,4,low
489,86.61015453778347,17.0,17.612191101110767,549.8655366732411,5,low
3415,28.943952161948793,12.0,22.261279239908124,341.54917001317324,2,high
51,46.7681212484877,18.0,15.242496867280572,613.870493351384,1,low
2330,,18.0,37.908594545339625,377.32868042834696,1,high
777,41.11904758694911,19.0,62.77239221387591,273.3581348989894,1,low
2934,42.7486454090268,12.0,55.13628979212945,511.4200330759667,0,high
504,33.02846675020844,17.0,46.25692093869003,487.67662107644674,2,low
1112,,16.0,0.41650913288351143,499.8467146695958,0,high
2588,,22.0,72.87183063654663,385.3033073505818,0,high
2077,20.152837800631286,18.0,9.642366573788053,406.23310731934384,4,low
3577,93.44330387534414,18.0,,669.2669990553667,0,high
2777,,13.0,6.58082530932529,566.1628422501122,3,high
1005,,19.0,17.375583255301635,,1,high
1836,55.619069263001165,14.0,41.516772761584406,207.39546583698387,2,low
219,77.95167014240634,18.0,30.672791876219797,362.8375396831685,2,low
3035,1.620039733946721,13.0,16.1316191198647,523.5948608240286,0,high
2764,81.83804247795352,16.0,34.054291680044635,405.21024224683373,3,high
3035,4.013885908536652,,23.885279838882557,393.5524692234769,4,low
592,88.99133763628625,11.0,9.677992066596705,,2,high
1929,,15.0,31.181683084722035,489.0938655895568,0,high
1297,29.40674621767778,13.0,6.853996539163835,617.6941869437524,2,low
2909,21.031855628579365,19.0,,499.9371194081461,3,low
1558,76.53633638580408,23.0,0.09347179385228796,509.2905532276476,3,high
3232,25.302634092025322,17.0,23.87350987717604,466.27094541757697,0,high
3586,86.55623831722035,12.0,15.378197640058877,425.0964751767891,1,high
676,10.28425921574767,19.0,10.833562970377233,634.1361306979894,1,low
2098,12.595519637935826,,21.752015422198284,611.3603101766295,1,low
2918,97.91515551006155,7.0,31.095471394845298,806.7919876499075,6,high
2244,67.38388982700046,15.0,100.84107443118579,591.5846447583879,1,high
1327,84.68872244289528,23.0,53.70443124424962,425.2378517288805,3,low
2465,32.4329377351518,23.0,37.8851443152767,364.3023036334715,2,high
630,67.64837495206044,17.0,19.558251899769584,642.9417891067425,2,low
2393,59.42418273085972,19.0,,377.7519673534835,2,high
2091,60.3150120122947,9.0,0.9921151584847319,621.4605029783106,2,high
271,68.25324595377215,12.0,,386.0129009161079,1,low
2071,57.53591731290986,16.0,56.59077050491602,552.3737575680921,3,low
2854,42.906236930266594,,14.53644666151622,341.03731777004566,1,high
3447,27.592269438054686,10.0,18.57376916912813,616.9828031498122,4,high
2642,,19.0,9.516804513590081,314.94925167361265,3,high
2975,22.62724300031862,12.0,9.61164432774541,540.9435994260052,2,high
1393,,16.0,1.9160587156020292,470.32400986594826,1,high
2169,23.333282264932663,18.0,28.542302213165016,515.270965583939,2,low
1420,62.53301699544539,10.0,17.829989122930595,440.6294248757549,3,low
3033,74.70782671290289,17.0,27.939147037732003,437.11100789435136,4,high
1508,21.87138889065392,19.0,,523.2171806014658,3,low
3529,5.994330086130828,14.0,48.11032416479349,349.67924328652225,5,low
2586,13.097374299417408,14.0,41.71050672810456,348.7966907499985,2,low
805,60.59969672710255,8.0,44.28051400215775,446.21757505423824,2,low
64,84.94464062257356,14.0,20.748790544709255,,3,low
2283,4.499682123542437,12.0,13.103163762882124,349.1905304293438,3,low
3182,73.41512590416463,19.0,81.28800779451107,638.6322039371997,2,high
1985,34.13186459500521,9.0,,449.82898723525926,3,low
1615,47.85283699195225,11.0,4.968227582368449,466.0006695505833,4,low
3489,92.88595498455656,15.0,16.321085815180513,300.87075110456806,1,high
3103,,14.0,28.554246214854047,810.745378191818,3,high
1051,46.5336933939486,12.0,0.24702548498166282,864.0601093332369,3,low
3491,1.3682414760681105,11.0,38.11650279668682,382.94021323934777,1,high
2643,8.159872000483837,11.0,24.54271533994678,683.9129571753647,4,low
1159,25.859159113478402,15.0,19.89034131593844,486.22799243936146,1,low
1530,2.7852240821074403,13.0,,740.5654389219659,1,low
732,63.1375326048251,16.0,21.987031855277866,550.434962960058,3,low
2479,42.63983568016225,21.0,,514.9643253151098,1,high
2807,54.814520272802206,12.0,3.4526213667773575,125.10956905721275,0,high
1609,17.464718589632955,16.0,10.259395378437429,368.20910398599756,1,low
191,29.593202943661613,17.0,37.08504595418347,503.0781004362414,2,low
231,66.38244748527251,22.0,26.622927631311956,529.7999379055968,4,low
2011,96.53027236303998,10.0,19.62489203215711,317.7749429093923,0,high
1025,,16.0,25.425404121600454,390.6842706985582,1,low
2347,89.03843208552661,10.0,24.578869149991505,583.0170525876229,3,high
845,57.68812013112085,12.0,11.00357340494416,292.5183905399964,3,low
